Sofascore_Name,id,minutes,SoT,Shots,Tackles,fouls_commited,fouls_received,Goals,xG,Assists,xA,round,Match
Dovydas Sasnauskas,1802013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Oliver Norwood,100637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
James McAtee,1003334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
William Osula,1122603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Neto,84844,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Adam Smith,44566,74.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0166,0.0,0.0891325,28,Bournemouth - Sheffield United
Chris Mepham,865740,90.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.337297,28,Bournemouth - Sheffield United
Illia Zabarnyi,1023567,90.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2246,0.0,0.0675707,28,Bournemouth - Sheffield United
Miloš Kerkez,1097425,45.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0648,0.0,0.039416,28,Bournemouth - Sheffield United
Ryan Christie,322391,74.0,1.0,4.0,1.0,0.0,2.0,0.0,0.1638,1.0,0.458904,28,Bournemouth - Sheffield United
Lewis Cook,548188,90.0,0.0,1.0,1.0,0.0,1.0,0.0,0.03,0.0,0.181291,28,Bournemouth - Sheffield United
Antoine Semenyo,934354,90.0,2.0,6.0,1.0,1.0,1.0,0.0,0.4204,0.0,0.0481903,28,Bournemouth - Sheffield United
Justin Kluivert,851596,62.0,1.0,2.0,0.0,2.0,1.0,0.0,0.2077,0.0,0.0195315,28,Bournemouth - Sheffield United
Marcus Tavernier,895576,62.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.334403,28,Bournemouth - Sheffield United
Dominic Solanke,361420,90.0,1.0,3.0,0.0,3.0,2.0,0.0,0.8609,0.0,0.070516,28,Bournemouth - Sheffield United
Dango Ouattara,1106451,45.0,1.0,5.0,0.0,1.0,0.0,1.0,0.7152,1.0,0.347056,28,Bournemouth - Sheffield United
Luis Sinisterra,836070,28.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0857,0.0,0.0878124,28,Bournemouth - Sheffield United
Enes Ünal,336655,28.0,3.0,3.0,0.0,0.0,0.0,1.0,0.4055,0.0,0.0,28,Bournemouth - Sheffield United
Philip Billing,548660,16.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0623,0.0,0.164503,28,Bournemouth - Sheffield United
Alex Scott,1104986,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0916,0.0,0.161497,28,Bournemouth - Sheffield United
