"","id","Date","Time","Competition","Gameweek","Team","Opponent","Venue","ForAgainst","Result","Yellow_Cards","Red_Cards","Season"
"9698",9699,"2023-04-29","16:30","Liga Argentina","Matchweek 14","Gimnasia y Esgrima LP","Tigre","Away","Against","D",2,0,2023
"9699",9700,"2023-05-04","19:00","Sudamericana","Group stage","Gimnasia y Esgrima LP","Goiás","Away","Against","W",3,0,2023
"9700",9701,"2023-05-08","15:30","Liga Argentina","Matchweek 15","Gimnasia y Esgrima LP","Arsenal","Home","Against","L",5,0,2023
"9701",9702,"2023-05-15","18:00","Liga Argentina","Matchweek 16","Gimnasia y Esgrima LP","Lanús","Away","Against","L",2,0,2023
"9702",9703,"2023-05-19","15:30","Liga Argentina","Matchweek 17","Gimnasia y Esgrima LP","Godoy Cruz","Home","Against","W",3,0,2023
"9703",9704,"2023-05-23","19:00","Sudamericana","Group stage","Gimnasia y Esgrima LP","Santa Fe","Away","Against","L",3,3,2023
"9704",9705,"2023-05-27","11:00","Liga Argentina","Matchweek 18","Gimnasia y Esgrima LP","Sarmiento","Away","Against","D",2,0,2023
"9705",9706,"2023-06-04","11:00","Liga Argentina","Matchweek 19","Gimnasia y Esgrima LP","Unión","Home","Against","W",3,0,2023
"9706",9707,"2023-06-08","19:00","Sudamericana","Group stage","Gimnasia y Esgrima LP","Goiás","Home","Against","D",4,1,2023
"9707",9708,"2023-06-13","20:30","Liga Argentina","Matchweek 20","Gimnasia y Esgrima LP","Huracán","Away","Against","L",5,0,2023
"9708",9709,"2023-06-21","21:30","Liga Argentina","Matchweek 21","Gimnasia y Esgrima LP","Cen. Córdoba–SdE","Home","Against","D",0,0,2023
"9709",9710,"2023-06-28","21:00","Sudamericana","Group stage","Gimnasia y Esgrima LP","Universitario","Home","Against","W",6,0,2023
"9710",9711,"2023-07-03","20:00","Liga Argentina","Matchweek 22","Gimnasia y Esgrima LP","Newell's OB","Home","Against","D",3,0,2023
"9711",9712,"2023-07-07","19:00","Liga Argentina","Matchweek 23","Gimnasia y Esgrima LP","Independiente","Away","Against","D",2,0,2023
"9712",9713,"2023-07-11","21:30","Liga Argentina","Matchweek 24","Gimnasia y Esgrima LP","Atlé Tucumán","Home","Against","W",3,0,2023
"9713",9714,"2023-07-16","16:30","Liga Argentina","Matchweek 25","Gimnasia y Esgrima LP","Boca Juniors","Away","Against","W",4,0,2023
"9714",9715,"2023-07-24","16:30","Liga Argentina","Matchweek 26","Gimnasia y Esgrima LP","Talleres","Home","Against","D",3,0,2023
"9715",9716,"2023-07-30","17:30","Liga Argentina","Matchweek 27","Gimnasia y Esgrima LP","Platense","Away","Against","D",1,1,2023
"9716",9717,"2023-08-19","19:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Talleres","Away","Against","W",2,0,2023
"9717",9718,"2023-08-25","21:30","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Colón","Home","Against","W",4,0,2023
"9718",9719,"2023-09-02","15:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Independiente","Away","Against","W",3,0,2023
"9719",9720,"2023-09-13","18:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Vélez Sarsfield","Away","Against","L",4,0,2023
"9720",9721,"2023-09-19","21:00","Copa de la Liga Profesional","Group stage","Gimnasia y Esgrima LP","Huracán","Home","Against","W",2,1,2023
